director,avg_vote
Howard Higgin,5.5
Victor Schertzinger,6.8
Luther Reed,6.1
Frank Borzage,7.2
Charles Reisner,6
Mario Camerini,6.9
John Francis Dillon,6.1
"David Butler, John Ford",5.5
A. Edward Sutherland,6
Reginald Barker,6.1
William Wyler,6.3
"Harry A. Pollard, Arch Heath",6.1
John G. Adolfi,5.8
H.P. Carver,6.9
John S. Robertson,6.7
Sam Wood,5.5
"Walter Jerven, Franz Osten",5
Harry Beaumont,6.1
"Edward Sedgwick, Buster Keaton",7
Alexander Korda,4.9
"Grigoriy Aleksandrov, Sergei M. Eisenstein",7.3
Wesley Ruggles,6.1
Frank Tuttle,5.7
David Butler,6.5
Georg Wilhelm Pabst,7.9
Sam Taylor,6.3
Marshall Neilan,5.6
E. Mason Hopper,5.9
Frank Borzage,5.8
Tod Browning,5.9
Josef von Sternberg,6.6
Allan Dwan,6.4
Kenji Mizoguchi,6.6
Edmund Goulding,6.6
Bayard Veiller,6.1
Lionel Barrymore,5.8
Jack Conway,5.1
Marshall Neilan,5.3
William K. Howard,6
Léon Poirier,6.9
Victor Fleming,6.8
Yasujirô Ozu,6.4
"Arnold Fanck, Georg Wilhelm Pabst",7.2
"Clyde Bruckman, Malcolm St. Clair",6
Tod Browning,6.6
William A. Seiter,7.2
Sidney Franklin,6.6
Dorothy Arzner,6.4
Hanns Schwarz,7.2
Frank Capra,6.3
D.W. Griffith,5.7
Lewis Milestone,8
Victor Heerman,7.5
Clarence Brown,6.6
Jacques Feyder,6.9
Julien Duvivier,7.2
William A. Seiter,5.1
Roland West,6.4
Thornton Freeland,5.8
Herbert Brenon,5.4
Frank Tuttle,6.2
"George W. Hill, Ward Wing",7.1
Hobart Henley,5.9
"Raoul Walsh, Louis R. Loeffler",7.2
King Vidor,6
"David Burton, Nick Grinde",6.1
Josef von Sternberg,7.7
Kenneth MacPherson,6.2
John Ford,5.4
Michael Curtiz,5.6
Charles Brabin,5.6
Alan Crosland,4.7
Al Christie,6.2
Melville W. Brown,5.7
Harry Beaumont,5.7
F.W. Murnau,7.8
Christy Cabanne,5.4
Anthony Asquith,7.6
Paul Sloane,6.1
George B. Seitz,6.2
Julien Duvivier,7
Howard Hawks,7.2
George Fitzmaurice,6.5
Edmund Goulding,6
Robert Z. Leonard,6.8
Luther Reed,5.3
Archie Mayo,6.5
Edward Sedgwick,5.8
Wilhelm Thiele,6.6
"André Charlot, Jack Hulbert",5.3
Phil Rosen,5.9
Leslie Pearce,5.2
Fred C. Newmeyer,6.2
Roy William Neill,6.9
"Clyde Bruckman, Harold Lloyd",6.7
William A. Seiter,6.5
Harry Beaumont,6.1
"Lloyd Corrigan, Laurence Schwab",6.5
John Cromwell,6.5
George Archainbaud,6.1
Edward Sedgwick,5.6
Sam Wood,5.3
William A. Seiter,6
Ray Enright,4.4
Nick Grinde,5.5
Alfred E. Green,5.4
Paul Sloane,6.1
Benjamin Stoloff,5.5
Henry King,5.5
"Howard Hughes, Edmund Goulding",7.4
Tay Garnett,6.5
Yasujirô Ozu,6.4
Edward H. Griffith,6.4
Edward F. Cline,6.1
Roy Pomeroy,5.4
James Whale,6.7
David Butler,5.4
"John Murray Anderson, Walter Lantz",6.7
Frank Capra,6.7
Sidney Franklin,6
Victor Sjöström,6.6
Frank Lloyd,5.3
Harry d'Abbadie d'Arrast,6.5
Robert Z. Leonard,6.4
Leo McCarey,5.5
Roy Del Ruth,5.6
"Otto Brower, Edwin H. Knopf",4.6
Frank Borzage,6.8
Mervyn LeRoy,7.3
Ted Wilde,6.1
"Harry Beaumont, William Nigh",5.3
Lowell Sherman,5.6
Paul L. Stein,5.3
Charles Reisner,5.5
Melville W. Brown,6.2
Cecil B. DeMille,6.5
Michael Curtiz,5.7
George Abbott,6.2
Alfred Hitchcock,6.1
Michael Curtiz,5.7
William A. Wellman,5.1
Scott Pembroke,5
John Ford,5.8
George W. Hill,6.8
Lloyd Bacon,5.7
Malcolm St. Clair,4.7
Ernst Lubitsch,6.8
Josef von Sternberg,7.1
Alfred Hitchcock,6.4
Jack Conway,6.1
King Vidor,6.1
Lloyd Bacon,5.3
