,title,year,genre,duration,country,language,director,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,votecat,director_avg
712,21 grammi,2003,"Crime, Drama, Thriller",124,USA,English,Alejandro G. Iñárritu,7.7,221361,20000000,16290476,60427839,70,572,186,High,7.733333333333334
713,Brivido biondo,2004,"Comedy, Crime",88,USA,English,George Armitage,4.9,17522,50000000,6489476,6808550,42,98,78,Middle,5.683333333333334
714,Terra di confine - Open Range,2003,"Action, Drama, Romance",139,USA,English,Kevin Costner,7.4,65567,22000000,58331254,68296293,67,530,161,High,7.166666666666667
715,Mi chiamano Radio,2003,"Biography, Drama, Sport",109,USA,English,Michael Tollin,6.9,37674,35000000,52333738,53293628,38,202,78,High,6.0
716,Il mio amico a quattro zampe,2005,"Comedy, Drama, Family",106,USA,English,Wayne Wang,6.3,10278,14000000,32647042,33589427,54,92,98,Middle,6.23125
717,The Cooler,2003,"Drama, Romance",101,USA,English,Wayne Kramer,6.9,32101,3200000,8291572,10464788,69,220,142,High,6.725
718,Thumbsucker - Il succhiapollice,2005,"Comedy, Drama",96,USA,English,Mike Mills,6.6,20487,4000000,1328679,2138742,69,95,119,Middle,7.033333333333334
719,Elf - Un elfo di nome Buddy,2003,"Comedy, Family, Fantasy",97,USA,English,Jon Favreau,6.9,211602,33000000,174626840,221671773,64,502,141,High,6.888888888888889
720,Contratto d'Amore,2003,"Comedy, Drama, Romance",101,USA,English,Clare Kilner,5.6,9142,16000000,14195227,14390329,45,97,45,Middle,5.55
721,Honey,2003,"Drama, Music, Romance",94,USA,English,Bille Woodruff,5.4,42827,18000000,30308417,62228395,37,144,98,Middle,5.266666666666667
722,Northfork,2003,"Drama, Fantasy",103,USA,English,Michael Polish,6.3,5239,1900000,1420578,1599804,64,126,62,Middle,5.458333333333333
723,I Love Your Work,2003,"Drama, Mystery",111,USA,English,Adam Goldberg,5.3,1777,1650000,3264,3264,39,38,20,Middle,4.9
724,Shade - Carta vincente,2003,"Crime, Thriller",101,USA,English,Damian Nieman,6.3,11991,10000000,25032,459098,40,67,28,Middle,6.3
725,Non aprite quella porta,2003,Horror,98,USA,English,Marcus Nispel,6.2,128106,9500000,80571655,107362708,38,748,241,Middle,5.36
726,April's Shower,2003,"Comedy, Romance",100,USA,English,Trish Doolan,5.0,669,1000000,16377,16377,38,14,8,Middle,5.0
727,Dickie Roberts - Ex Piccola Star,2003,Comedy,98,USA,English,Sam Weisman,5.6,13477,17000000,22738671,23769505,36,118,70,Middle,5.733333333333333
728,Head of State,2003,Comedy,95,USA,English,Chris Rock,5.5,17935,35200000,38125247,38620484,44,86,48,Middle,5.8
729,La maledizione della prima luna,2003,"Action, Adventure, Fantasy",143,USA,English,Gore Verbinski,8.0,1001260,140000000,305413918,654264015,63,2196,292,High,6.860000000000001
730,Biker Boyz,2003,"Action, Drama",110,USA,English,Reggie Rock Bythewood,4.7,12621,24000000,22076772,23510621,36,89,65,Middle,5.4
731,Civil Brand,2002,"Drama, Thriller, Crime",95,USA,English,Neema Barnette,5.2,683,500000,254293,254293,29,25,11,Middle,5.066666666666666
732,L'invidia del mio migliore amico,2004,Comedy,99,USA,English,Barry Levinson,4.8,29593,40000000,13562325,14494036,31,181,82,Middle,6.426086956521738
733,Cani dell'altro mondo!,2003,"Comedy, Drama, Family",88,USA,English,John Hoffman,5.1,4014,18000000,37667746,45490616,49,48,51,Middle,5.766666666666666
734,In My Sleep,2010,"Drama, Mystery, Thriller",104,USA,English,Allen Wolf,5.5,1952,1000000,30158,30158,33,22,27,Middle,5.5
735,La gang del bosco,2006,"Animation, Adventure, Comedy",83,USA,English,"Tim Johnson, Karey Kirkpatrick",6.7,156530,80000000,155019340,339795890,67,294,162,High,6.7
736,Secondhand Lions,2003,"Comedy, Drama, Family",111,USA,English,Tim McCanlies,7.5,51433,30000000,42070939,48260279,52,317,84,High,6.6000000000000005
737,La donna perfetta,2004,"Comedy, Horror, Sci-Fi",93,USA,English,Frank Oz,5.3,59624,90000000,59484742,103370127,42,429,165,Middle,6.609090909090909
